"channel","publish_date","source","author","title","url"
"hot","2026 04/24","中华人民共和国国家发展和改革委员会","","国家发展改革委有关负责同志就《碳达峰碳中和综合评价考核办法》答记者问","https://www.ditan.com/news/hot/101235.html"
"hot","2026 04/20","山东省人民政府","","山东发布2026-2030年菏泽鲁西崛起储能及能源建设方案","https://www.ditan.com/news/hot/101138.html"
"hot","2026 04/20","中国储能网","王虎斌","2026年Q1新型储能新增装机35.89GWh 新疆领跑全国","https://www.ditan.com/news/hot/101135.html"
"hot","2026 04/09","能源界","","报告：2060年中国新型储能累计融资需求将达7-10万亿元","https://www.ditan.com/news/hot/101040.html"
"hot","2026 04/24","中国储能网","","今日行业动态｜中办国办发布碳达峰碳中和考核新规","https://www.ditan.com/news/hot/101227.html"
"hot","2026 04/23","中共中央办公厅、国务院办公厅","","中共中央办公厅、国务院办公厅发布《关于更高水平更高质量做好节能降碳工作的意见》","https://www.ditan.com/news/hot/101203.html"
"hot","2026 04/21","中国储能网","吴涛","今日行业动态｜李强总理强调新型电网与储能建设","https://www.ditan.com/news/hot/101165.html"
"hot","2026 04/24","河北省发展和改革委员会","","河北发布2026-2030能源装备方案，推动储能多元化发展","https://www.ditan.com/news/hot/101238.html"
"hot","2026 04/09","能源界","","中俄MBIR快堆研究中心合作：中方代表团访问多家核能机构","https://www.ditan.com/news/hot/101027.html"
"hot","2026 04/08","中国储能网","吴涛","CIBF2026开幕在即：吉厚智能将亮相深圳储能大会","https://www.ditan.com/news/hot/101017.html"
"interview","2026 02/02","国家发改委","","国家发展改革委就完善发电侧容量电价机制答记者问","https://www.ditan.com/news/interview/10429.html"
"interview","2026 02/02","央广网","","政策解读 | 关于完善发电侧容量电价机制","https://www.ditan.com/news/interview/10403.html"
"interview","2026 01/27","中国能源观察","","国家能源局局长王宏志：努力破解新能源高比例消纳难题","https://www.ditan.com/news/interview/10243.html"
"interview","2026 01/23","国家能源局","","《电力业务许可证延续及注销管理办法》政策解读","https://www.ditan.com/news/interview/10154.html"
"interview","2026 04/08","新京报","张冰","中国工程院院士廉玉波：固态电池产业化进入攻坚阶段 主机厂需深度介入","https://www.ditan.com/news/interview/101002.html"
"interview","2026 03/05","中国经济时报","","林伯强：2026年我国将持续推进东数西算工程","https://www.ditan.com/news/interview/11285.html"
"bidding","2026 04/22","中国储能网","","4月22日招中标动态｜江西、河北储能项目中标 宁夏共享储能招标","https://www.ditan.com/news/bidding/101198.html"
"interview","2026 03/03","中石化碳科公司微信公众号","","张希良：剖析中国碳市场建设发展逻辑与方向","https://www.ditan.com/news/interview/11178.html"
"interview","2026 03/02","中国电力企业管理","","史连军：关于我国新型容量市场建设的思考","https://www.ditan.com/news/interview/11143.html"
"interview","2026 02/25","环球时报","","王元丰：美国借 AI 气候救赎论逃避全球气候治理责任","https://www.ditan.com/news/interview/10893.html"
"hot","2026 04/24","新华社","","中共中央办公厅、国务院办公厅印发《碳达峰碳中和综合评价考核办法》","https://www.ditan.com/news/hot/101223.html"
"bidding","2026 04/24","中国储能网","","今日招中标动态｜两大中标两大招标，双登股份领衔AIDC储能落地","https://www.ditan.com/news/bidding/101233.html"
"bidding","2026 04/20","中国储能网","王谊秀","今日招中标动态｜甘肃辽宁三储能项目EPC中标公示","https://www.ditan.com/news/bidding/101119.html"
"hot","2026 04/23","国家发改委","","国家发展改革委有关负责同志就《关于更高水平更高质量做好节能降碳工作的意见》答记者问","https://www.ditan.com/news/hot/101208.html"
"bidding","2026 04/10","中国储能网","王谊秀","4月8日储能项目中标及招标动态更新","https://www.ditan.com/news/bidding/101050.html"
"interview","2026 02/06","中能传媒研究院","叶春","叶春：以体系能力跃升支撑能源强国建设的政策组合建议","https://www.ditan.com/news/interview/10636.html"
"bidding","2026 04/24","海南省政府采购行业协会","","千瓦科技中标海南新燕泰大酒店能源托管项目","https://www.ditan.com/news/bidding/101234.html"
"bidding","2026 03/26","中国储能网","","国家电投5GWh储能集采中标公示 中广核储能框架中标结果揭晓","https://www.ditan.com/news/bidding/100707.html"
"bidding","2026 03/24","中国储能网","王谊秀","今日招中标动态｜1.203-1.228元/Wh！山西200MW/400MWh源网储能EPC中标候选人公示","https://www.ditan.com/news/bidding/100651.html"
"bidding","2026 03/24","浙江省发展改革委","","浙江发展改革委9.9万元采购电价政策评估服务","https://www.ditan.com/news/bidding/100613.html"
"bidding","2026 04/13","中国储能网","王谊秀","今日招中标动态｜宁夏新疆河北三地储能项目中标动态聚焦","https://www.ditan.com/news/bidding/101099.html"
"interview","2026 04/02","中国电力企业管理","","王志轩：解析‘能源强国’提出的历史必然性","https://www.ditan.com/news/interview/100914.html"
"bidding","2026 03/17","中国储能网","","3月16日储能项目中标及招标动态汇总","https://www.ditan.com/news/bidding/100379.html"
"themes","2026 02/10","上海气候周","","强强携手聚焦 ESG 与双碳协同，以 “标准 + 实践” 助力气候治理","https://www.ditan.com/news/themes/10782.html"
"themes","2026 02/02","上海气候周","","在阿布扎比 |《气候科技焦点：人工智能赋能可持续发展》报告发布/气候与可持续摄影大赛展览圆满举行","https://www.ditan.com/news/themes/10450.html"
