"category","source","count","channels","example_title","example_url"
"会议/活动/展会","上海气候周","142","hot|themes","强强携手聚焦 ESG 与双碳协同，以 “标准 + 实践” 助力气候治理","https://www.ditan.com/news/themes/10782.html"
"公众号/自媒体/个人号","环球零碳","95","hot|themes","气候公园绿动碳能量 |上海气候周携手远景科技集团开启碳秘馆可持续发展之旅","https://www.ditan.com/news/themes/8271.html"
"中央部委/国务院/监管","国家能源局","78","hot|interview|themes","《电力业务许可证延续及注销管理办法》政策解读","https://www.ditan.com/news/interview/10154.html"
"官方媒体/主流媒体","新华社","70","hot|interview|themes","中共中央办公厅、国务院办公厅印发《碳达峰碳中和综合评价考核办法》","https://www.ditan.com/news/hot/101223.html"
"中央部委/国务院/监管","生态环境部","69","hot|interview|themes","生态环境部召开民企绿色低碳发展座谈会","https://www.ditan.com/news/hot/100552.html"
"行业媒体/垂直资讯","中国储能网","63","bidding|hot|themes","2026年Q1新型储能新增装机35.89GWh 新疆领跑全国","https://www.ditan.com/news/hot/101135.html"
"中央部委/国务院/监管","工信部","44","hot|interview","工信部公布2025年度绿色工厂、园区名单","https://www.ditan.com/news/hot/100457.html"
"行业媒体/垂直资讯","北极星储能网","36","bidding|hot","300MW/600MWh！新疆构网型共享储能项目EPC招标","https://www.ditan.com/news/bidding/3156.html"
"中央部委/国务院/监管","国家发改委","34","hot|interview|themes","国家发展改革委就完善发电侧容量电价机制答记者问","https://www.ditan.com/news/interview/10429.html"
"官方媒体/主流媒体","中国新闻网","32","hot","中国工程院院士杜祥琬：碳中和并非低碳转型终点","https://www.ditan.com/news/hot/186.html"
"其他/待人工判断","本站","31","bidding|hot","【巨头双碳服务￥80万元】中国中信集团有限公司2024年“双碳”服务采购项目-公开招标公告","https://www.ditan.com/news/bidding/1376.html"
"官方媒体/主流媒体","新华网","28","hot|interview|themes","中共中央建议部署：发展分布式能源意义重大","https://www.ditan.com/news/hot/10680.html"
"央国企/能源集团/电网","中国电力报","27","hot|interview","宋宏坤：深化 “四个监管” 赋能能源高质量发展","https://www.ditan.com/news/interview/9299.html"
"交易/招标/采购平台","中国招标投标公共服务平台","26","bidding|hot","山西华电平鲁储能项目招标公告发布","https://www.ditan.com/news/bidding/11067.html"
"央国企/能源集团/电网","国家电网报","25","hot|interview","国网蒙东电力董事长毛光辉：全面深化改革 奋进长治久安高质量发展新征程","https://www.ditan.com/news/interview/5132.html"
"交易/招标/采购平台","全国公共资源交易平台","25","bidding","新疆昌吉国投鑫能源发布800MW/3.2GWh储能项目招标","https://www.ditan.com/news/bidding/10774.html"
"公众号/自媒体/个人号","绿研所","23","hot","上合组织天津峰会：强调绿色可持续发展","https://www.ditan.com/news/hot/8323.html"
"行业媒体/垂直资讯","北极星太阳能光伏网","22","bidding|hot|interview","晋能光伏紧急采购 1244 千克光伏银浆 12 月交货","https://www.ditan.com/news/bidding/9472.html"
"行业媒体/垂直资讯","北极星风力发电网","21","bidding|hot","华电新疆105万千瓦风电项目机组招标！","https://www.ditan.com/news/bidding/8908.html"
"其他/待人工判断","鄂尔多斯煤炭网","21","hot","煤市提前进入休眠模式","https://www.ditan.com/news/hot/8572.html"
"中央部委/国务院/监管","国家发展改革委","20","hot|interview","专家谈｜为什么要加快经济社会发展全面绿色转型？","https://www.ditan.com/news/interview/5307.html"
"官方媒体/主流媒体","人民日报","15","hot|interview","山东发布2026年新能源消纳行动方案推22条措施","https://www.ditan.com/news/hot/100947.html"
"协会/联盟/研究机构","中国节能协会碳中和专业委员会","15","hot|interview|themes","专家解读 | 推动我国甲烷排放控制迈上新台阶","https://www.ditan.com/news/interview/370.html"
